"date","total_key"
"2019-10-13",198
"2019-10-12",190
"2019-10-11",171
"2019-10-10",111
"2019-10-09",145
"2019-10-08",153
"2019-10-07",153
"2019-10-06",187
"2019-10-05",181
"2019-10-04",152
"2019-10-03",109
"2019-10-02",48
"2019-10-01",56
"2019-09-30",80
"2019-09-29",84
"2019-09-28",83
"2019-09-27",61
"2019-09-26",68
"2019-09-25",59
"2019-09-24",56
"2019-09-23",58
"2019-09-22",80
"2019-09-21",77
"2019-09-20",65
"2019-09-19",68
"2019-09-18",62
"2019-09-17",73
"2019-09-16",65
"2019-09-15",78
"2019-09-14",84
"2019-09-13",74
"2019-09-12",75
"2019-09-11",59
"2019-09-10",66
"2019-09-09",62
"2019-09-08",88
"2019-09-07",79
"2019-09-06",76
"2019-09-05",73
"2019-09-04",75
"2019-09-03",56
"2019-09-02",83
"2019-09-01",90
"2019-08-31",4107
"2019-08-30",3940
"2019-08-29",3709
"2019-08-28",3626
"2019-08-27",3520
"2019-08-26",3459
"2019-08-25",4163
"2019-08-24",4043
"2019-08-23",3768
"2019-08-22",3608
"2019-08-21",3650
"2019-08-20",3559
"2019-08-19",3441
"2019-08-18",3929
"2019-08-17",3908
"2019-08-16",3642
"2019-08-15",3556
"2019-08-14",3602
"2019-08-13",3547
"2019-08-12",3525
"2019-08-11",3943
"2019-08-10",3925
"2019-08-09",3708
"2019-08-08",3751
"2019-08-07",3616
"2019-08-06",3740
"2019-08-05",3370
"2019-08-04",4189
"2019-08-03",4273
"2019-08-02",3717
"2019-08-01",3613
"2019-07-31",3240
"2019-07-30",3405
"2019-07-29",3274
"2019-07-28",3779
"2019-07-27",3577
"2019-07-26",3138
"2019-07-25",3630
"2019-07-24",3535
"2019-07-23",3667
"2019-07-22",3679
"2019-07-21",3825
"2019-07-20",3701
"2019-07-19",3620
"2019-07-18",3589
"2019-07-17",3737
"2019-07-16",3794
"2019-07-15",3590
"2019-07-14",3828
"2019-07-13",3789
"2019-07-12",3594
"2019-07-11",3601
"2019-07-10",3682
"2019-07-09",3731
"2019-07-08",3825
"2019-07-07",4093
"2019-07-06",3975
"2019-07-05",3956
"2019-07-04",4053
"2019-07-03",3951
"2019-07-02",4048
"2019-07-01",3901
"2019-06-30",4292
"2019-06-29",4160
"2019-06-28",4034
"2019-06-27",3903
"2019-06-26",3946
"2019-06-25",4010
"2019-06-24",4029
"2019-06-23",4348
"2019-06-22",4111
"2019-06-21",3919
"2019-06-20",3607
"2019-06-19",3704
"2019-06-18",3718
"2019-06-17",3768
"2019-06-16",4140
"2019-06-15",4001
"2019-06-14",3659
"2019-06-13",3583
"2019-06-12",3561
"2019-06-11",3700
"2019-06-10",3666
"2019-06-09",3923
"2019-06-08",3664
"2019-06-07",3471
"2019-06-06",3797
"2019-06-05",3399
"2019-06-04",3814
"2019-06-03",3740
"2019-06-02",3988
"2019-06-01",3981
"2019-05-31",4045
"2019-05-30",3879
"2019-05-29",4047
"2019-05-28",3994
"2019-05-27",3981
"2019-05-26",4257
"2019-05-25",4006
"2019-05-24",3650
"2019-05-23",3551
"2019-05-22",3730
"2019-05-21",3647
"2019-05-20",3525
"2019-05-19",4185
"2019-05-18",3940
"2019-05-17",3641
"2019-05-16",3774
"2019-05-15",3634
"2019-05-14",3870
"2019-05-13",3814
"2019-05-12",4407
"2019-05-11",4500
"2019-05-10",4123
"2019-05-09",3929
"2019-05-08",3952
"2019-05-07",3991
"2019-05-06",3849
"2019-05-05",4631
"2019-05-04",4590
"2019-05-03",4147
"2019-05-02",3823
"2019-05-01",4589
